RESPOND_ID,EXAMIN_BEGIN_DE,SEXDSTN_FLAG_CD,AGRDE_FLAG_NM,ANSWRR_OC_AREA_NM,HSHLD_INCOME_DGREE_NM,CLTUR_ART_VIEWNG_INTRST_DGREE_VALUE,CLTUR_ART_ACT_INTRST_DGREE_VALUE,SPORTS_VIEWNG_INTRST_DGREE_VALUE,SPORTS_ACT_INTRST_DGREE_VALUE,TURSM_TOUR_INTRST_DGREE_VALUE,RCRT_REST_INTRST_DGREE_VALUE,SELF_IMPT_SELF_MANAGE_INTRST_DGREE_VALUE,SCT_EXCHG_INTRST_DGREE_VALUE
50441360,20211103,F,20대,충청북도,300이상500만원 미만,1,1,1,1,2,3,1,1
50441651,20211103,M,20대,울산광역시,300만원 미만,2,2,2,3,2,3,2,2
50442540,20211103,M,20대,경기도,300이상500만원 미만,2,2,3,2,3,3,1,2
50442728,20211103,M,20대,전라남도,300만원 미만,3,3,3,3,3,3,3,3
50442961,20211103,M,20대,경기도,700만원 이상,1,2,2,2,1,3,2,3
50444391,20211103,M,20대,충청북도,500이상700만원 미만,3,3,1,1,3,3,3,1
50444577,20211103,F,20대,광주광역시,300이상500만원 미만,3,3,3,3,1,3,3,1
50444639,20211103,F,20대,경기도,300이상500만원 미만,3,3,3,3,3,2,3,3
52959426,20211103,M,20대,서울특별시,무응답,2,2,2,2,2,2,2,2
53047869,20211103,M,20대,경기도,300만원 미만,2,3,2,2,2,2,2,2
53049320,20211103,M,20대,강원도,700만원 이상,3,3,3,3,3,3,3,3
